time (s),V1 Potential 3,potential 2
14.3,-0.039380017,-0.004884362
14.32,1.688268335,-3.58E-07
14.34,0.536502767,-0.004884362
14.36,-2.342911152,-0.004884362
14.38,-4.070559504,-3.58E-07
14.4,-1.767028368,-0.004884362
14.42,-0.039380017,-0.004884362
14.44,-1.191145584,-0.004884362
14.46,-1.767028368,-0.004884362
14.48,-2.342911152,-0.004884362
14.5,-1.191145584,-0.004884362
14.52,-0.039380017,-0.004884362
14.54,-0.039380017,-3.58E-07
14.56,-1.767028368,-0.004884362
14.58,-2.342911152,-0.009768367
14.6,-0.6152628,-0.004884362
14.62,-0.039380017,-3.58E-07
14.64,-0.039380017,-0.004884362
14.66,-1.191145584,-0.004884362
14.68,-2.342911152,-3.58E-07
14.7,-1.191145584,-0.004884362
14.72,0.536502767,-0.004884362
14.74,-0.6152628,-0.004884362
14.76,-2.342911152,-0.004884362
14.78,-1.767028368,-0.004884362
14.8,-0.6152628,-3.58E-07
14.82,-0.039380017,-0.004884362
14.84,-0.039380017,-0.004884362
14.86,-1.767028368,-3.58E-07
14.88,-4.070559504,-0.004884362
14.9,-0.6152628,-0.004884362
14.92,2.264151119,-0.004884362
14.94,-0.039380017,-0.004884362
14.96,-2.342911152,-0.004884362
14.98,-3.49467672,-0.004884362
15,-1.191145584,-0.004884362
15.02,1.688268335,-0.004884362
15.04,1.112385551,-0.004884362
15.06,-2.918793936,-0.004884362
15.08,-3.49467672,-0.004884362
15.1,-0.6152628,-0.009768367
15.12,1.688268335,-3.58E-07
15.14,1.112385551,0.004883647
15.16,-2.342911152,-0.004884362
15.18,-4.070559504,-0.004884362
15.2,-1.191145584,-3.58E-07
15.22,-0.039380017,-0.004884362
15.24,-1.191145584,-0.004884362
15.26,-1.191145584,-0.004884362
15.28,-2.342911152,-0.009768367
15.3,-1.767028368,-0.004884362
15.32,0.536502767,-3.58E-07
15.34,-0.039380017,-0.004884362
15.36,-1.767028368,-0.004884362
